time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.96779e-315	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.69277	0.430016	4.39856	2.72467e-17	-5.78426e-18	radar	1.96288	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15835	0.483579	4.12118	-0.00490335	-0.00170577	lidar	0.19007	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.28908	0.521729	4.92979	0.135347	0.0828145	radar	1.98087	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.57766	0.577281	4.95479	0.171987	0.107847	lidar	0.607144	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82934	0.56316	5.4143	0.0766144	0.08865	radar	1.14281	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.1247	0.603165	5.43254	0.0976608	0.125936	lidar	0.397586	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.33967	0.648959	5.26159	0.140502	0.148599	radar	2.30492	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.61178	0.680222	5.27963	0.134419	0.106827	lidar	0.124173	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.88346	0.668629	5.30241	0.0736872	-0.110599	radar	0.311348	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.11817	0.674075	5.27274	0.0589034	-0.147325	lidar	0.70884	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.40978	0.566705	5.32802	-0.105397	-0.627739	radar	2.33886	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.71518	0.458073	5.39348	-0.234852	-0.903952	lidar	3.20818	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.99449	0.542253	5.41597	-0.0957713	-0.385493	radar	3.60359	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.26992	0.534464	5.41762	-0.0949914	-0.335627	lidar	0.209912	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53041	0.568375	5.3628	-0.057688	-0.2168	radar	1.28498	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
